Gjelderfradato	LønnN	StillingsprosentN	AjourholddatoN	Lønn	Stillingsprosent	Ajourholddato	GrunnlagstypeIF	GrunnlagstypeUP	Ytelse_IF	Ytelse_BTUP	Ytelse_UP	Ytelse_UPBT	Ytelse_BT
01.12.2019 00:00	492366	1	06.01.2020	464702	1	10.12.2019	Normert	Normert	29049	19694	38991	0	0
01.11.2019 00:00	487417	1	06.01.2020	508286	1	13.11.2019	Normert	Normert	28757	19496	38843	0	0
01.10.2019 00:00	480793	1	06.01.2020	450314	1	11.10.2019	Normert	Normert	28366	19231	38644	0	0
01.09.2019 00:00	473948	1	06.01.2020	430014	1	13.09.2019	Normert	Normert	27962	18957	38439	0	0
01.08.2019 00:00	471527	1	06.01.2020	447534	1	09.08.2019	Normert	Normert	27820	18861	38366	0	0
01.07.2019 00:00	464682	1	06.01.2020	430014	1	11.07.2019	Normert	Normert	27416	18587	38161	0	0
01.06.2019 00:00	457837	1	06.01.2020	623858	1	20.06.2019	Normert	Normert	27012	18313	37955	0	0
01.05.2019 00:00	472010	1	06.01.2020	621109	1	14.05.2019	Normert	Normert	27848	18880	38381	0	0
01.04.2019 00:00	469724	1	06.01.2020	417637	1	16.04.2019	Normert	Normert	27713	18788	38312	0	0
01.02.2019 00:00	465044	1	06.01.2020	481549	1	14.02.2019	Normert	Normert	27437	18601	38172	0	0
01.01.2019 00:00	457881	1	06.01.2020	492366	1	06.01.2020	Normert	Normert	27014	18315	37957	0	0
01.12.2018 00:00	457395	1	11.12.2018	434101	1	11.12.2018	Normert	Normert	26986	18295	37942	0	0
01.10.2018 00:00	463526	1	15.10.2018	411769	1	15.10.2018	Normert	Normert	27348	18541	38126	0	0
01.09.2018 00:00	470696	1	18.09.2018	462913	1	18.09.2018	Normert	Normert	27771	18827	38341	0	0
01.07.2018 00:00	458494	1	10.07.2018	411769	1	10.07.2018	Normert	Normert	27051	18339	37975	0	0
01.06.2018 00:00	452196	1	12.06.2018	664810	1	12.06.2018	Normert	Normert	26679	18087	37786	0	0
01.05.2018 00:00	427325	1	14.05.2018	465454	1	14.05.2018	Normert	Normert	25212	17093	36228	0	0
01.04.2018 00:00	412852	1	11.04.2018	531898	1	11.04.2018	Normert	Normert	24358	16514	35794	0	0
01.02.2018 00:00	388372	1	14.02.2018	398998	1	14.02.2018	Normert	Normert	22913	15534	34953	0	0
01.01.2018 00:00	374092	1	18.01.2018	486646	1	18.01.2018	Normert	Normert	22071	14963	33668	0	0
01.12.2017 00:00	360118	1	12.12.2017	420190	1	12.12.2017	Normert	Normert	21246	14404	32410	0	0
01.11.2017 00:00	354130	1	15.11.2017	500734	1	15.11.2017	Normert	Normert	20893	14165	31871	0	0
01.10.2017 00:00	338479	1	13.10.2017	496186	1	13.10.2017	Normert	Normert	19970	13539	30463	0	0
01.09.2017 00:00	318923	1	15.09.2017	420958	1	15.09.2017	Normert	Normert	18816	12756	28703	0	0
01.08.2017 00:00	305009	1	15.09.2017	308699	1	14.09.2017	Faktisk	Faktisk	18213	12347	27782	0	0
01.07.2017 00:00	304404	1	15.09.2017	337619	1	14.09.2017	Faktisk	Faktisk	19919	13504	30385	0	0
01.06.2017 00:00	297887	1	15.09.2017	362219	1	13.09.2017	Faktisk	Faktisk	21370	14488	32599	0	0
01.05.2017 00:00	282809	1	15.09.2017	295039	1	14.06.2017	Faktisk	Faktisk	17407	11801	26553	0	0
01.04.2017 00:00	278901	1	15.09.2017	346435	1	06.06.2017	Faktisk	Faktisk	20439	13857	31179	0	0
01.03.2017 00:00	248662	1	15.09.2017	290251	1	04.05.2017	Faktisk	Faktisk	17124	11610	26122	0	0
24.01.2017 00:00	212849	1	15.09.2017	212849	1	13.02.2017	Faktisk	Faktisk	12558	8513	19156	0	0
